역번호,역사명,노선명,영문역사명,한자역사명,역위도,역경도,데이터기준일자
D004,신사,신분당선,Sinsa,新沙,37.51612526,127.0197609,2026-06-18
D005,논현,신분당선,Nonhyeon,論峴,37.51111538,127.0213658,2026-06-18
D006,신논현,신분당선,Sinnonhyeon,新論峴,37.50455543,127.0245306,2026-06-18
D007,강남,신분당선,Gangnam,江南,37.49738544,127.0278789,2026-06-18
D008,양재(서초구청),신분당선,Yangjae(Secho-gu Office),良才(瑞草區廳),37.48445352,127.0340995,2026-06-18
D009,양재시민의숲(매헌),신분당선,Yangjae Citizen's Forest(Maeheon),良才市民의숲(梅軒),37.47096388,127.0384203,2026-06-18
D010,청계산입구,신분당선,Cheonggyesan,淸溪山入口,37.44871485,127.0543396,2026-06-18
D011,판교,신분당선,Pangyo(Pangyo Techno Valley),板橋(板橋테크노밸리),37.39571475,127.1112107,2026-06-18
D012,정자,신분당선,Jeongja,亭子,37.36821019,127.1083859,2026-06-18
D013,미금,신분당선,Migeum,美金,37.35118332,127.1089028,2026-06-18
D014,동천,신분당선,Dongcheon,東川,37.33868413,127.1027937,2026-06-18
D015,수지구청,신분당선,Suji-gu Office,水枝區廳,37.32300896,127.0955813,2026-06-18
D016,성복,신분당선,Seongbok,星福,37.31404251,127.0807578,2026-06-18
D017,상현,신분당선,Sanghyeon,上峴,37.29868526,127.0695799,2026-06-18
D018,광교중앙(아주대),신분당선,Gwanggyo Jungang,光敎中央(亞洲大),37.28773752,127.052625,2026-06-18
D019,광교(경기대),신분당선,Gwanggyo (Kyonggi Univ.),光敎(京畿大),37.30173474,127.0448561,2026-06-18
Y110,기흥(백남준아트센터),에버라인,Giheung,器興,37.27545288,127.1170465,2025-03-25
Y111,강남대,에버라인,Kangnam Univ.,江南大 ,37.27017073,127.1260669,2025-03-25
Y112,지석,에버라인,Jiseok,支石,37.26973732,127.1363256,2025-03-25
Y113,어정,에버라인,Eojeong,御停,37.27495132,127.1437499,2025-03-25
Y114,동백(용인세브란스),에버라인,Dongbaek,東栢,37.26910138,127.1526906,2025-03-25
Y115,초당,에버라인,Chodang,草堂,37.26080647,127.1594692,2025-03-25
Y116,삼가,에버라인,Samga,三街,37.24205993,127.16818,2025-03-25
Y117,시청·용인대,에버라인,Yongin City Hall·Yongin Univ.,市廳?龍仁大,37.23944203,127.1788851,2025-03-25
Y118,명지대,에버라인,Myongji Univ.,明知大,37.23807629,127.1902913,2025-03-25
Y119,김량장,에버라인,Gimnyangjang,金良場,37.23732377,127.1986109,2025-03-25
Y120,용인중앙시장(용인예술과학대),에버라인,Yongin Jungang Market,龍仁中央市場,37.2379113,127.2090526,2025-03-25
Y121,고진,에버라인,Gojin,古陳,37.24463834,127.2141836,2025-03-25
Y122,보평,에버라인,Bopyeong,洑坪,37.25896427,127.2184808,2025-03-25
Y123,둔전,에버라인,Dunjeon,屯田,37.26721222,127.2136387,2025-03-25
Y124,전대·에버랜드,에버라인,Jeondae·Everland,前垈,37.28541327,127.219509,2025-03-25
A01,서울,인천국제공항선,Seoul,-,37.55301784,126.9697643,2023-05-31
A02,공덕,인천국제공항선,Gongdeok,孔德,37.5427105,126.9516296,2023-05-31
A03,홍대입구,인천국제공항선,Hongik Univ.,弘大入口,37.55774103,126.9264939,2023-05-31
A04,디지털미디어시티,인천국제공항선,Digital Media City,-,37.577355,126.898025,2023-05-31
