name,alias,addr,lat,lon,tel,link,menu,flag,media
(휴업)키친아만티,아만티호텔 서울,서울시 마포구 서교동 447-1 (1층),37.5571963,126.9185987,02-325-7733,재오픈예정,"(평일점심) 24,200원|2022.5",,xybqfLRWs8M
JINS미트&샐러드바,,서울시 강북구 미아동 49-160번지,37.61242021,127.0348704,02-985-1888,[월휴무] 12여가지 맛있는고기 + 샐러드바,"13,900원|2023.10",,ldn2NbBo49w
가연 마라탕. 양꼬치,,서울시 강북구 수유동 189-6 (1층),37.6415907,127.0243574,02-999-1566,"(화요일 휴무) 샤브샤브, 마라탕","20,900원|2023.09",,sPBEHno1WII
가오곱창,홍대점,서울시 마포구 양화로16길 30-5,37.552738,126.9212268,02-336-9969,"(2만원대) 소 (곱창,대창,막창,염통), 생방송투데이 (2019.04.17) 방영",,,XsijvoJEDZ4
가인채,강동점,서울시 강동구 양재대로 1571 (홈플러스 3층),37.5456952,127.142258,02-474-6602,"샤브샤브 오감만족, 아름다운 사람 그리고 채소","[평일] 20,800 [주말] 23,800원|2024.04",,15C5E_hxM_0
감격시대,,서울시 서초구 서초동 1579-4,37.4885678,127.0137181,02-521-3392,"등심, 부채살, 토시살, 갈비살, 우삼겹, 차돌박이, LA갈비, 치맛살, 제주오겹, 육회","26,000~33,000원|2023.8",,bF8DcmJsaXA
갓파스시,분당미금역점,경기도 성남시 분당구 금곡동 157,37.3503391,127.1097065,031-716-4377,회전초밥,"[평점] 20,800~22,800 [저녁&주말] 26,200~27,900원|2022.7",,tBD1H_m8Dio
강남 돼지상회,명동직영점,서울시 중구 을지로2가 199-40 (2층),37.5646507,126.983717,02-318-2990,"삼겹살, 간장치킨, 목살, 우삼겹, 대패삼겹, 공기밥, 음료수, 함흥냉면","16,900~22,900원|2023.8",,wDuq7E6us8M
강남 돼지상회,홍대점,서울시 마포구 서교동 355-28,37.5536802,126.9212237,02-322-8891,"삼겹살,간장순살치킨,목살,우삼겹,껍데기,공기밥,음료수,함흥냉면","15,900~21,900원|2024.05",,-NGVOAfTgJY
건대 소몰이,건대점,서울시 광진구 화양동 44-61,37.5424931,127.0653658,02-467-3339,(오후2시부터) 미국산 프리미엄급 냉장숙성 소고기,"24,900원|2022.11",,iGIZi181Qps
경주뷔페식당,,경상북도 경주시 성동동 51-1 (성동시장 불국사한식뷔페),35.8453558,129.2163456,010-5170-8879,가정 한정식,"8,000원|2023.8",,7k4dbbEUPXY
고기굽는사람들,남현점,서울시 관악구 남현동 1061-15,37.4748604,126.9811736,02-6404-8120,"[2인 이상] 냉동삼겹살, 냉동항정살, 우삼겹, 음료수","16,500원|2024.07",,_syr8ZfcYrA
고기대통령,본점,서울시 광진구 능동로 91 (2층),37.539302,127.0700518,02-462-9080,"소고기, 돼지고기, 생생정보 (2019.06.14) 방영","[평일점심] 20,900 [저녁및주말] 23,900원|2022.12",,ZaaUGzzf8jQ
고기싸롱,강남역점,서울시 강남구 역삼동 817-3 (1층),37.5004283,127.0277879,02-554-8897,"삼겹살, 돼지양념구이, 돼지껍데기, 매콤갈매기, 닭갈비, 주먹고기","17,500원|2022.10",,PoyAPBTL_EQ
고기싸롱,독산점,서울시 금천구 독산동 378-436 (1층),37.4629467,126.9041512,02-807-8890,"수제돼지양념구이, 숙성삼겹살, 주먹고기, 매콤숯불닭갈비, 껍데기, 특선메뉴, 공기밥","[평일점심] 17,500 [저녁및주말] 18,500원|2024.8",,K6DCQWYzQDk
고기싸롱,수유점,서울시 강북구 수유동 182-42,37.6424083,127.0237542,02-998-9277,"수제양념구이, 숙성삼겹살, 주먹고기, 매콤숯불닭갈비, 껍데기, 치킨, 특선메뉴, 볶음밥","[평일점심] 17,500 [저녁및주말] 18,500원|2023.10",,HTOxvKv667M
고기싸롱,일산화정역점,경기도 고양시 덕양구 화정동 978-2 (2층),37.6326666,126.8326717,031-974-3392,"수제돼지양념구이, 숙성삼겹살, 주먹고기, 매콤숯불닭갈비, 껍데기, 특선메뉴, 공기밥","[평일점심] 17,500 [저녁및주말] 18,500원|2024.08",,0WmxDTxNgaU
고기싸롱,철산점,경기도 광명시 철산동 421,37.4747483,126.8686359,02-2625-2520,"양념구이, 숙성삼겹살, 매콤닭갈비, 주먹고기, 껍데기, 특선메뉴, 공기밥","[주중점심] 16,500 [저녁및주말] 17,500원|2023.2",,X9oh_lu0co4
고기싸롱 ,산본역점,경기도 군포시 산본동 1136 (한솔프라자 2층),37.3601039,126.9310241,031-392-9279,"수제양념구이, 숙성삼겹살, 주먹고기, 매콤숯불닭갈비, 껍데기, 치킨, 특선메뉴, 볶음밥","[평일점심] 16,500 [저녁및주말] 17,500원|2023.4",,76QZAq47xB0
고메스퀘어,미사점,경기도 하남시 망월동 1100 (지하 1층),37.5641712,127.1920851,031-793-1350,프리미엄 뷔페,"[평점] 25,900 [평저] 29,900 [주말] 32,900원|2024.03",,SZ0vlDULtmw
고메스퀘어,배곧직영점,경기도 시흥시 배곧동 230 (3층),37.366607,126.7277422,0507-1478-1361,프리미엄 뷔페,"[평점] 24,900 [평저] 29,900 [주말] 31,900원|2023.11",,fOL5cLW03PE
고토히라우동,,서울시 마포구 서교동 327-20,37.5550906,126.9291806,02-333-4885,"관동식의 육수와 관서식의 육수를 사용해 만든 생면우동, 생방송투데이 (2018.11.22) 방영","9,000~11,000원|2024.01",,bAk90hGZRTs
고향정한식뷔페,,경상북도 포항시 남구 대잠동 463-13,36.0244954,129.3392008,054-277-6117,가정 한정식,"9,000원|2023.8",,A750PxOPVRk
곱끌림,노원점,"서울시 노원구 상계동 595 (1층, 곱,끌림)",37.6566633,127.0629476,0507-1455-9286,"(2&4주 화요일 휴무, 오후 4시부터)곱창, 대창, 특양, 염통 모듬세트","28,400원|2023.10",,TpSm-ZlLhXE
곱끌림,미아점,"서울시 강북구 미아동 54-255 (1층, 곱,끌림)",37.6129553,127.0318795,010-9115-5967,"[5시부터] 모듬 (곱창, 대창, 특양, 염통)","28,400원|2023.11",,lcgxmvc27uU
곱창폭식,성남점,경기도 성남시 중원구 금광동 4,37.4447096,127.1576323,031-747-0092,"곱창, 막창, 대창, 염통, 우삼겹, 라면","27,500원|2022.5",,OgsoPZ1S2tM
곱창폭식,안양점,경기도 안양시 만안구 안양동 674-160 (2층),37.3988325,126.9238124,031-360-7492,"(평일 4시, 주말 2시부터) 곱창, 대창, 막창, 염통, 우삼겹, 주먹밥","26,900원|2023.7",,ShypHRYcYig
공룡고기N,시흥대야점,경기도 시흥시 대야동 534-3 (2층),37.4432981,126.7913815,031-315-1907,"소고기, 돼지고기, 육회, 샐러드바","28,900원|2023.4",,v_cZ7lckrd8
구구향훠궈,사당역점,서울시 관악구 남현동 1061-17 (2층),37.4746814,126.9814233,010-8873-2131,(1~2만원대) 훠궈,,,RJe9YS7ALeY
구구향훠궈,이수점,서울시 동작구 동작대로27다길 26,37.486358,126.9802711,02-535-7866,(1~2만원대) 훠궈,,,pleKXuo4NoY
구이마을,2호점,서울시 서대문구 창천동 33-25,37.5581585,126.9364093,02-334-4252,"삼겹살, 목살","15,900원|2024.02",,OpTYNvP2MK0
국가대표고기집,수진점,경기도 성남시 수정구 수진동 75,37.4402978,127.1323257,031-723-9229,"돼지고기(삼겹살,목살,항정살,갈매기살 등)","14,900원|2022.5",,j-E2JwWGzd8
김덕후의곱창조,건대점,서울시 광진구 아차산로33길 21-4,37.5413676,127.0700594,02-499-1540,(오후 3시부터) 소 내장구이 신문화 창조 (곱창 막창 대창 염통),"24,900원|2022.7",,tyof1myvBCM
김덕후의곱창조,홍대본점,서울시 마포구 와우산로 51-9,37.5492213,126.9225166,070-7592-0590,"한우 내장구이 신문화 창조 (곱창 막창 대창 염통), 생생정보 (2014.10.13) 방영","26,800원|2024.06",,TKBz8ZEWwHY
김덕후의곱창조,홍대클럽점,서울시 마포구 서교동 407-26,37.5505848,126.9221452,02-337-0792,소 내장구이 신문화 창조 (곱창 막창 대창 염통),"22,900원|2021.5",,bxy2y19pi4Q
김사부 샤브샤브,,서울시 금천구 가산로 132,37.477266,126.8920458,010-5811-0412,"(화요일 오전휴무, 혼밥 5,000+) 훠궈 (양고기, 소고기, 해산물, 야채)","20,000원|2023.2",,LxsMOxpeM4k
김천재의육회반한연어,마곡점,서울시 강서구 마곡동 796-7 2층,37.5603376,126.835089,02-3663-5666,"육회, 연어, 참치","19,900~29,900원|2022.9",,fQglrStgXlQ
김천재의육회반한연어,분당서현점,경기도 성남시 분당구 서현동 245-4 (엘지분당에크 2층),37.3870906,127.125205,031-7059-3333,"(2인 이상) 육회, 연어, 참치","19,900~34,900원|2022.6",,zIzrL8LK-VQ
김천재의육회반한연어,신논현본점,서울시 강남구 논현동 181-8,37.5074793,127.0268319,02-516-1123,"(2인 이상) 육회, 연어, 참치","19,900~34,900원|2022.9",,EwyMwDs1Nuw
김판서갈비전문점,,경기도 성남시 수정구 수진동 1287,37.4388928,127.1329498,031-756-0081,"수제돼지갈비, 등심, 갈비살, 장어","15,800~29,800원|2022.6",,ynAm2ONxjIg
김프로부대찌개 ,은행점,경기도 시흥시 은행로155번길 6 (2층),37.4447944,126.7987576,031-507-4007,부대찌개,"11,900원|2023.3",,'1QMWwrh6B3
꽃마름,울산삼산점,울산시 남구 달동 1256-4 (울산시티호텔 2층),35.5383411,129.3341143,052-266-4977,메인메뉴 주문시 씨푸드 샐러드바 또는 뷔페 무제한 사용가능,"[평일점심] 18,900 [저녁및주말] 24,900원|2023.7",,HP3-65aMNTY
냄비9단,,경기도 성남시 분당구 금곡동 166 (이코노샤르망 2층),37.350385,127.1073766,031-712-1533,"국내산 숯불닭갈비, 생생정보 (2018.02.28) 방영","19,900원|2022.7",,SIXRekvNEmM
놀부부대찌개,신촌점,서울시 서대문구 창천동 33-43,37.557765,126.936763,02-325-8492,"부대찌게, 찜닭","부대찌개 10,900원; 찜닭 11,900원|2021.5",,SA7oCIRNUuU
놀부항아리갈비,명일점,서울시 강동구 명일동 335-1 (2층),37.5484967,127.1438627,0507-1468-1085,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 매콤닭갈비, 마늘 갈매기살, 특선메뉴, 공기밥","[평일점심] 17,500 [저녁및주말] 18,500원|2024.03",,NrE_f07apPg
다담샤브샤브&월남쌈,위례점,경기도 성남시 수정구 창곡동 546 (3층 305호),37.4683593,127.1401881,0507-1397-6133,"소고기 샤브샤브, 월남쌈, 공기밥, 아메리카노, 아이스크림","[평일점심] 17,900 [저녁및주말] 21,900원|2024.06",,mcmYi3q5pbY
다이닝원,발산점,서울시 강서구 마곡동 795-7 (열린프라자 9층),37.5601192,126.837719,02-3661-1357,스시 롤 샐러드 뷔페,"[평점] 22,900 [평저] 27,900 [주말] 29,900원|2022.12",,qwxFkDhjyek
